1,[Err]M1500_ CHECK CLOSE THE DOOR SAFETYLOCK
2,[Err]M1501_TIME_OUT_MACHINE
3,[Err]M1502_ LIMIT_AXIS_X+
4,[Err]M1503_LIMIT_AXIS_X-
5,[Err]M1504_LIMIT_AXIS_Y+
6,[Err]M1505_LIMIT_AXIS_Y-
7,[Err]M1506_LIMIT_AXIS_CAM -
8,[Err]M1507_LIMIT_AXIS_CAM+
9,[Err]M1508_ STOPPER_UP
10,[Err]M1509_ STOPPER_DOWN
11,[Err]M1510_ERR_AXIS_SERVO_CAM
12,[Err]M1511_ERR_AXIS_SERVO_X
13,[Err]M1512_ERR_AXIS_SERVO_Y
14,[Err]M1513_CHECK_XYLANH_STOPPER_UP
15,[Err]M1514_CHECK_XYLANH_STOPPER_DOWN
16,[Err]M1515_CHECK_INTERFACE_BODDING
17,[Err]M1516_CHECK_CONVEYOR
18,[Err]M1517_CHECK_CONVEYOR_OK
19,[Err]M1518_FIX_UP
20,[Err]M1519_FIX_DOWN
21,[Err]M1520_Start_Vision T.O
22,[Err]M1521_End_Vision T.O
23,[Err]M1522_Move To Load T.O
24,[Err]M1523_Move To Unload OK T.O
25,[Err]M1524_Move To Unload NG T.O
26,[Err]M1525_Check ServoOn_EMS
27,[Err]M1526_Check MC Alarm
28,[Err]M1527_EMS STOP
29,[Err]M1528_TRAY_FULL_OK
30,[Err]M1529_TRAY_FULL_NG
31,[Err]M1530_Err_A
32,[Err]M1531_Proc10_Start Pos T.O
33,[Err]M1532_Proc11_Start Pos T.0
34,[Err]M1533_Proc12_Start Pos T.O
35,[Err]M1534_Proc13_Start Pos T.O
36,[Err]M1535_Proc14_Start Pos T.O
37,[Err]M1536_Proc15_Start Pos T.O
38,[Err]M1537_Proc16_Start Pos T.O
39,[Err]M1538_Error_FULL_CONVEYOR_OK
40,[Err]M1539_Error_FULL_CONVEYOR_NG
41,[Err]M1540_Proc9_End_Pos_T.O
42,[Err]M1541_Proc10_End_Pos_T.O
43,[Err]M1542_Proc11_End_Pos_T.O
44,[Err]M1543_Proc12_End_Pos_T.O
45,[Err]M1544_Proc13_End_Pos_T.O
46,[Err]M1545_Proc14_End_Pos_T.O
47,[Err]M1546_Proc15_End_Pos_T.O
48,[Err]M1547_Proc16_End_Pos_T.O
49,[Err]M1548_Error_49
50,[Err]M1549_Error_50
51,[Err]M1550_ 
52,[Err]M1550_
53,[Err]M1550_
54,[Err]M1550_
55,[Err]M1550_
56,[Err]M1550_
57,[Err]M1550_
58,[Err]M1550_
59,[Err]M1550_
60,[Err]M1550_
61,[Err]M1550_
62,[Err]M1550_
63,[Err]M1550_
64,[Err]M1550_
65,[Err]M1550_
66,[Err]M1550_
67,[Err]M1550_
68,[Err]M1550_
69,[Err]M1550_
70,[Err]M1550_
71,[Err]M1550_
72,[Err]M1550_
73,[Err]M1550_
74,[Err]M1550_
75,[Err]M1550_
76,[Err]M1550_
77,[Err]M1550_
78,[Err]M1550_
79,[Err]M1550_
80,[Err]M1550_
81,[Err]M1550_
82,[Err]M1550_
83,[Err]M1550_
84,[Err]M1550_
85,[Err]M1550_
86,[Err]M1550_
87,[Err]M1550_
88,[Err]M1550_
89,[Err]M1550_
90,[Err]M1550_
91,[Err]M1550_
92,[Err]M1550_
93,[Err]M1550_
94,[Err]M1550_
95,[Err]M1550_
96,[Err]M1550_
97,[Err]M1550_
98,[Err]M1550_
99,[Err]M1550_
100,[Err]M1550_
